,Interested_in,City,Disposition,Referer,Campaign,Disp
220,",Loans",Bharuch,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_BMM-google,NC
221,",Loans",Srinagar,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,Customer Disconnected
222,",Loans",Kanchipuram,Not Contactable-Ringing No Response,Yes First,Search_India_YES_First_Lateral_BMM,NC
223,",Loans",Aurangabad,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
224,,Bangalore,Customer Disconnected,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_Exact-google,Customer Disconnected
225,",Current Account",Varanasi,Customer Disconnected,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_BMM-google,Customer Disconnected
226,",Loans",East Delhi,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,Customer Disconnected
227,",Loans",Ahmedabad,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,Customer Disconnected
228,",Loans",Bokaro,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,Customer Disconnected
229,",Loans,Current Account",Patan,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,Customer Disconnected
230,,Rewari,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,Customer Disconnected
231,",Loans",Haridwar,Customer Disconnected,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_BMM-google,Customer Disconnected
232,",Loans",Kolkata,Not Contactable-Number temporary Not in Service ,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_Exact-google,NC
233,",Loans",Mathura,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
234,",Loans,Current Account",Bengaluru Rural,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_Exact-google,NC
235,",Current Account",Agra,Customer Disconnected,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_BMM-google,Customer Disconnected
236,",Credit Card",Ahmadnagar,Customer Disconnected,Savings Account-fixed deposit,Search_PAN_India_Brand_Yes_Insta_Mobile_Exact_New_LP-google,Customer Disconnected
237,",Loans",Bangalore,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_BMM-google,NC
238,",Trading Account",New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
239,",Loans",Bhopal,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,Customer Disconnected
240,,Erashal,Customer Disconnected,Savings Account customizable - Wishfin,Deal4loans,Customer Disconnected
241,Saving Account,Pune,Not Contactable-Busy,Savings Account customizable,Search_SQR_PAN_India_Brand_Yes_Insta_Mobile_Exact_New_LP-google,NC
242,",Loans",Sagar,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
243,,Asansol,Not Contactable-Busy,Yes First,Search_India_YES_First_Wealth_Management_BMM,NC
244,Saving Account,Allahabad,Not Contactable-Ringing No Response,Yes First,,NC
245,",Trading Account",Bangalore,Customer Disconnected,Savings Account customizable,Display_snapdeal-affiliate,Customer Disconnected
246,,Bangalore,Customer Disconnected,Savings Account customizable - Wishfin,Deal4loans,Customer Disconnected
247,",Credit Card,Trading Account",New Delhi,Customer Disconnected,Savings Account customizable,"Display_snapdeal-affiliate,AndroidNew",Customer Disconnected
248,",Current Account",East Delhi,Customer Disconnected,Yes First,YES_First_Savings,Customer Disconnected
249,,Meerut,Customer Disconnected,Savings Account-SeniorcitizenFD,YESBANK_FD,Customer Disconnected
250,,NOKHA,Customer Disconnected,Savings Account customizable - Wishfin,Deal4loans,Customer Disconnected
251,,New Delhi,CDR Disposition - Not Contactable,Savings Account-SeniorcitizenFD,YESBANK_FD,NC
252,Saving Account,Adityapur,Not Contactable-Busy,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
253,",Current Account",Saharanpur,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
254,",Credit Card",Jammu,Not Contactable-Ringing No Response,Savings Account customizable,"Display_snapdeal-affiliate,AndroidNew",NC
255,Saving Account,Kanpur,Not Contactable-Ringing No Response,Savings Account customizable,,NC
256,,New Delhi,Not Contactable-Ringing No Response,Yes First,banners_ET_yesfirst,NC
257,,New Delhi,Customer Disconnected,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_Exact-google,Customer Disconnected
258,",Credit Card",Machilipatnam,Not Contactable-Number temporary Not in Service ,Savings Account customizable,mailer_3point14CPL-affiliate,NC
259,",Loans",Bhopal,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
260,",Credit Card,Current Account",Agra,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
261,",Trading Account",Ghaziabad,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
262,",Loans",Bulandshahr,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,Customer Disconnected
263,",Credit Card,Current Account",Jaipur,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
264,,Vijayawada,Not Contactable-Language Barrier,Yes First,YES_First_Savings,NC
265,",Credit Card,Current Account",Kolkata,Not Contactable-Busy,Yes First,YES_First_Savings,NC
266,",Trading Account",Faridabad,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_BMM-google,NC
267,",Trading Account",New Delhi,Customer Disconnected,Savings Account customizable,mailer_netcore_6percent_SA_1004-affiliate,Customer Disconnected
268,"Business Credit Cards,",Gurgaon,Not Contactable-Not reachable / Switched Off ,Current Account,YES_Bank_Current_Account_Brand_BMM_Desktop,NC
269,,Palwal,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,Customer Disconnected
270,",Credit Card",New Delhi,Not Contactable-Busy,Savings Account customizable,mailer_netcore_6percent_SA_1004-affiliate,NC
271,",Credit Card,Loans,Current Account,Trading Account",Bhopal,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
272,Saving Account,Hanumangarh,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
273,",Current Account",Bilaspur,Not Contactable-Busy,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_Exact-google,NC
274,,Kozhikode,Customer Disconnected,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_BMM-google,Customer Disconnected
275,",Loans",New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
276,",Credit Card",Bareilly,Not Contactable-Busy,Yes First,YES_First_Savings,NC
277,",Credit Card",Ludhiana,Customer Disconnected,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_Exact-google,Customer Disconnected
278,",Credit Card,Current Account",Patna,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
279,,Delhi,Customer Disconnected,Savings Account customizable - Wishfin,Deal4loans,Customer Disconnected
280,",Credit Card,Loans,Current Account,Trading Account",Banswara,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
281,",Credit Card,Loans,Current Account,Trading Account",Sagar,Customer Disconnected,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_Exact-google,Customer Disconnected
282,Saving Account,Hyderabad,Customer Disconnected,Yes First,nativeads_yahoo_yesfirst,Customer Disconnected
283,,Kaithal,Not Contactable-Not reachable / Switched Off ,Yes First,Search_India_YES_First_Advantage_Exclusive_Exact,NC
284,Saving Account,Mumbai Suburban,Not Contactable-Ringing No Response,Yes First,YES_First_Savings,NC
285,",Current Account",Mumbai,Not Contactable-Ringing No Response,Yes First,Search_India_YES_First_Wealth_Management_Exact,NC
286,",Loans",Anantnag,CDR Disposition - Not Contactable,Yes First,nativeads_columbia_yesfirst,NC
287,",Loans",Hyderabad,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
288,"Business Credit Cards,",Hyderabad,Not Contactable-Not reachable / Switched Off ,Current Account,Current_Account_B2B,NC
289,Saving Account,Chennai,Not Contactable-Ringing No Response,Yes First,nativeads_yahoo_yesfirst,NC
290,Saving Account,Aurangabad,Not Contactable-Busy,Savings Account-SeniorcitizenFD,YESBANK_FD,NC
291,,Vijayawada,Not Contactable-Language Barrier,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
292,Saving Account,Thane,Not Contactable-Busy,Savings Account-SeniorcitizenFD,Search_PAN_India_Senior_Citizen_Fixed_Deposit_Core_Exact,NC
293,,Fatehabad,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
294,Saving Account,Patna,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_BMM-google,NC
295,",Credit Card,Current Account",Bangalore,Not Contactable-Ringing No Response,Yes First,YES_First_Savings,NC
296,Saving Account,Mumbai,Not Contactable-Busy,Yes First,YES_First_Savings,NC
297,,New Delhi,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_BMM-google,NC
298,",Trading Account",Pune,Not Contactable-Ringing No Response,Yes First,banners_ET_yesfirst,NC
299,,Kolkata,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_Exact-google,NC
300,",Credit Card",Rishikesh,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_BMM-google,NC
301,",Credit Card,Loans,Current Account,Trading Account",Bokaro,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
302,",Credit Card",Mumbai,Customer Disconnected,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_BMM-google,Customer Disconnected
303,",Trading Account",Sriperumbudur,Customer Disconnected,Yes First,Search_India_YES_First_Advantage_BMM,Customer Disconnected
304,",Credit Card,Loans",Bagalkote,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
305,",Loans,Current Account",Kolkata,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,Customer Disconnected
306,",Loans",Gurgaon,Not Contactable-Busy,Yes First,YES_First_Savings,NC
307,",Current Account,Trading Account",Solan,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_Exact-google,NC
308,",Loans",Shahid Bhagat Singh Nagar,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
309,",Current Account",Alwar,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_Exact-google,NC
310,",Credit Card",Lucknow,Customer Disconnected,Savings Account-SeniorcitizenFD,YESBANK_FD,Customer Disconnected
311,",Current Account",Junagadh,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_BMM-google,NC
312,",Credit Card,Current Account",Ahmedabad,Not Contactable-Ringing No Response,Yes First,YES_First_Savings,NC
313,",Trading Account",Bangalore,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,PB_6pecent-aPB2,NC
314,,Khammam,Customer Disconnected,Savings Account customizable - Wishfin,Deal4loans,Customer Disconnected
315,,Mysore,Not Contactable-Language Barrier,Yes First,nativeads_yahoo_yesfirst,NC
316,,Hyderabad,Not Contactable-Language Barrier,Savings Account customizable - Wishfin,Deal4loans,NC
317,",Credit Card",New Delhi,Not Contactable-Busy,Yes First,Search_India_YES_First_Lateral_BMM,NC
318,Saving Account,Dibrugarh,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,Customer Disconnected
319,",Current Account,Trading Account",Mysore,Customer Disconnected,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_BMM-google,Customer Disconnected
320,",Credit Card,Loans",Bongaigaon,Not Contactable-Ringing No Response,Savings Account customizable,"Display_snapdeal-affiliate,AndroidNew",NC
321,",Credit Card",Ludhiana,Not Contactable-Number temporary Not in Service ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
322,",Loans",Kolkata,Not Contactable-Ringing No Response,Yes First,YES_First_Savings,NC
323,",Credit Card,Loans,Trading Account",Nadiad,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,Customer Disconnected
324,",Trading Account",Mumbai Suburban,Not Contactable-Ringing No Response,Yes First,,NC
325,",Credit Card",Rajahmundry,Customer Disconnected,Savings Account customizable,Display_snapdeal-affiliate,Customer Disconnected
326,",Credit Card,Trading Account",Bangalore,Customer Disconnected,Savings Account customizable,PB_6pecent-aPB2,Customer Disconnected
327,",Loans",Barwani,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
328,",Loans",Rewari,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
329,",Credit Card,Loans,Current Account,Trading Account",Belgaum,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,Customer Disconnected
330,",Credit Card",Srinagar,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
331,",Credit Card,Trading Account",Kanpur,Customer Disconnected,Savings Account customizable,brand_sitelink-google,Customer Disconnected
332,,New Delhi,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
333,,Bangalore,Customer Disconnected,Savings Account customizable - Wishfin,Deal4loans,Customer Disconnected
334,",Current Account",Patan,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,Customer Disconnected
335,",Credit Card",Bangalore,Not Contactable-Language Barrier,Savings Account customizable,Display_snapdeal-affiliate,NC
336,",Current Account",Cuttack,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
337,,Mumbai,Not Contactable-Ringing No Response,Savings Account customizable,Banner_Zeotap_6percent_SA-Display,NC
338,,Salem,Not Contactable-Language Barrier,Savings Account customizable - Wishfin,Deal4loans,NC
339,,Jammu,Not Contactable-Ringing No Response,Yes First,YES_First_Savings,NC
340,",Credit Card,Loans,Current Account,Trading Account",Chennai,Customer Disconnected,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1267,Customer Disconnected
341,",Loans",Salem,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,Customer Disconnected
342,",Loans",Jammu,Not Contactable-Busy,Savings Account customizable,"Display_snapdeal-affiliate,AndroidNew",NC
343,,Jaipur,Not Contactable-Busy,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_BMM-google,NC
344,,palvancha,Not Contactable-Language Barrier,Savings Account customizable - Wishfin,Deal4loans,NC
345,",Credit Card,Current Account",Navsari,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,Customer Disconnected
346,",Credit Card,Loans,Current Account,Trading Account",Tonk,Not Contactable-Language Barrier,Yes First,nativeads_yahoo_yesfirst,NC
347,",Credit Card",Kolkata,Customer Disconnected,Savings Account customizable,mailer_trackbackmedia_6percent_SA-affiliate,Customer Disconnected
348,",Loans",Dharwad,Customer Disconnected,Savings Account customizable,PB_6pecent-aPB2,Customer Disconnected
349,,Hyderabad,Not Contactable,Savings Account customizable - Wishfin,Deal4loans,NC
350,",Loans",Palwal,Customer Disconnected,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1267,Customer Disconnected
351,",Trading Account",Ujjain,Not Contactable-Busy,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
